atm_id,date,opening_balance,closing_balance,total_withdrawals,replenishment_amount,replenishment_cost
ATM_SEEF_01,2025-08-01,23940.556,20376.726,3563.830,0.000,0.000
ATM_SEEF_01,2025-08-02,20376.726,16230.977,4145.749,0.000,0.000
ATM_SEEF_01,2025-08-03,16230.977,13390.567,2840.410,0.000,0.000
ATM_SEEF_01,2025-08-04,13390.567,5902.926,7487.641,0.000,0.000
ATM_SEEF_01,2025-08-05,5902.926,20890.455,5268.269,20255.798,18.466
ATM_SEEF_01,2025-08-06,20890.455,14610.887,6279.568,0.000,0.000
ATM_SEEF_01,2025-08-07,14610.887,8164.150,6446.737,0.000,0.000
ATM_SEEF_01,2025-08-08,8164.150,27084.852,3506.775,22427.477,40.780
ATM_SEEF_01,2025-08-09,27084.852,23430.165,3654.687,0.000,0.000
ATM_SEEF_01,2025-08-10,23430.165,20769.044,2661.121,0.000,0.000
ATM_SEEF_01,2025-08-11,20769.044,12279.447,8489.597,0.000,0.000
ATM_SEEF_01,2025-08-12,12279.447,5085.074,7194.373,0.000,0.000
ATM_SEEF_01,2025-08-13,5085.074,24899.606,5358.677,25173.209,32.461
ATM_SEEF_01,2025-08-14,24899.606,17150.281,7749.325,0.000,0.000
ATM_SEEF_01,2025-08-15,17150.281,13956.611,3193.670,0.000,0.000
ATM_SEEF_01,2025-08-16,13956.611,11057.320,2899.291,0.000,0.000
ATM_SEEF_01,2025-08-17,11057.320,8434.432,2622.888,0.000,0.000
ATM_SEEF_01,2025-08-18,8434.432,26358.550,8379.445,26303.563,21.282
ATM_SEEF_01,2025-08-19,26358.550,19457.490,6901.060,0.000,0.000
ATM_SEEF_01,2025-08-20,19457.490,11233.080,8224.410,0.000,0.000
ATM_SEEF_01,2025-08-21,11233.080,31777.389,6517.251,27061.560,26.775
ATM_SEEF_01,2025-08-22,31777.389,28956.641,2820.748,0.000,0.000
ATM_SEEF_01,2025-08-23,28956.641,25939.631,3017.010,0.000,0.000
